seed,result,time (seconds)
331,unsolvable,34.583
332,solved,54.838
333,solved,63.896
334,solved,35.506
335,solved,62.256
336,unsolvable,5.106
337,solved,66.386
338,solved,23.992
339,solved,101.157
340,solved,26.181
341,solved,51.669
342,solved,62.866
343,solved,44.722
344,solved,44.949
345,solved,51.819
346,solved,27.245
347,solved,69.41
348,solved,41.426
349,solved,57.119
350,solved,49.187
351,solved,81.705
352,solved,50.982
353,solved,21.259
354,solved,59.887
355,solved,29.781
356,solved,34.346
357,solved,77.103
358,solved,30.71
359,solved,35.646
360,unsolvable,10.409
361,unsolvable,27.421
362,solved,25.756
363,solved,49.058
364,unsolvable,21.474
365,solved,34.583
366,solved,54.085
367,solved,52.637
368,solved,50.615
369,solved,30.396
370,solved,41.108
371,solved,33.124
372,solved,42.582
373,unsolvable,26.437
374,solved,27.221
375,solved,40.863
376,solved,51.874
377,solved,35.786
378,solved,32.096
379,solved,27.783
380,unsolvable,7.594
381,solved,48.242
382,solved,44.244
383,solved,38.483
384,solved,62.927
385,solved,54.533
386,solved,23.775
387,solved,32.406
388,solved,48.861
389,solved,33.631
390,solved,45.598
391,solved,22.917
392,solved,26.326
393,solved,66.517
394,unsolvable,17.985
395,solved,31.852
396,solved,32.222
397,solved,46.769
398,unsolvable,6.369
399,solved,25.585
400,solved,29.736
401,solved,45.618
402,solved,27.087
403,unsolvable,29.67
404,solved,27.302
405,solved,35.531
406,solved,51.259
407,solved,38.568
408,solved,55.41
409,unsolvable,34.55
410,solved,32.795
411,solved,25.577
412,solved,50.875
413,solved,29.613
414,solved,85.481
415,unsolvable,5.059
416,solved,37.712
417,solved,39.295
418,solved,64.147
419,solved,62.04
420,solved,32.555
421,solved,42.631
422,unsolvable,37.926
423,solved,62.967
424,solved,66.676
425,solved,51.399
426,solved,31.554
427,solved,59.368
428,solved,30.02
429,solved,46.34
430,solved,46.46
431,unsolvable,28.256
432,solved,76.238
433,solved,32.94
434,solved,66.367
435,solved,70.414
436,solved,39.352
437,unsolvable,39.061
438,solved,39.498
439,solved,47.288
440,solved,41.648
441,solved,50.083
442,solved,26.472
443,solved,39.122
444,solved,31.436
445,solved,39.549
446,solved,36.133
447,solved,78.849
448,solved,47.697
449,solved,47.325
450,solved,53.384
451,solved,28.312
452,unsolvable,48.837
453,solved,31.122
454,solved,46.662
455,solved,30.781
456,solved,31.152
457,solved,53.153
458,solved,31.215
459,solved,35.439
460,solved,32.053
461,solved,56.988
462,unsolvable,7.164
463,solved,46.799
464,unsolvable,44.061
465,solved,65.402
466,solved,48.452
467,solved,52.744
468,solved,29.613
469,solved,78.128
470,solved,33.716
471,solved,59.574
472,solved,52.669
473,solved,36.532
474,solved,42.596
475,solved,22.737
476,unsolvable,160.884
477,unsolvable,35.025
478,solved,44.19
479,unsolvable,16.498
480,solved,88.634
481,solved,73.289
482,solved,37.429
483,solved,41.42
484,solved,55.55
485,solved,56.406
486,solved,49.307
487,solved,28.487
488,solved,63.726
489,solved,50.628
490,solved,70.777
491,solved,32.058
492,solved,25.886
493,solved,41.163
494,solved,39.754
495,solved,52.475
496,solved,32.849
497,solved,33.123
498,solved,51.706
499,solved,61.175
500,solved,36.797
501,solved,55.016
502,solved,24.856
503,solved,46.571
504,unsolvable,20.013
505,solved,40.798
506,solved,70.542
507,solved,46.599
508,unsolvable,39.075
509,solved,38.412
510,solved,35.794
511,solved,43.665
512,solved,40.889
513,solved,28.62
514,solved,42.508
515,solved,62.219
516,solved,38.109
517,solved,38.985
518,solved,25.451
519,solved,34.806
520,unsolvable,18.765
521,solved,41.439
522,solved,41.862
523,unsolvable,28.857
524,solved,32.064
525,solved,53.688
526,solved,29.33
527,unsolvable,26.259
528,unsolvable,5.278
529,solved,44.174
530,solved,38.522
531,solved,52.571
