seed,result,time (seconds)
363,solved,939.58
364,unsolvable,167.236
365,solved,2.917
366,solved,0
367,solved,1.144
368,solved,0.464
369,solved,0
370,solved,0
371,solved,0
372,solved,0
373,unsolvable,0.108
374,solved,0
375,solved,0
376,solved,0
377,solved,0.003
378,solved,0
379,solved,0
380,unsolvable,7.098
381,solved,0
382,solved,0
383,solved,0
384,solved,0.001
385,solved,0
386,solved,0
387,solved,0.737
388,solved,0
389,solved,1.888
390,solved,0.045
391,solved,0
392,solved,0.003
393,solved,3.992
394,unsolvable,3.886
395,solved,0
396,solved,0
397,solved,0.158
398,unsolvable,31.86
399,solved,3.532
400,solved,0.272
401,solved,0.004
402,solved,0
403,unsolvable,0
404,solved,0
405,solved,6.569
406,solved,0.022
407,solved,0.002
408,solved,0.003
409,unknown,3600
410,solved,0
411,solved,0.882
412,solved,0
413,solved,0
414,solved,0.006
415,unsolvable,0.001
416,solved,0.005
417,solved,6.895
418,solved,0.001
419,solved,0
420,solved,0
421,solved,1.199
422,unsolvable,0
423,solved,0.004
424,solved,0
425,solved,0.428
426,solved,0
427,solved,0.009
428,solved,0
429,solved,0
430,solved,0
431,unsolvable,1340.51
432,solved,0.011
433,unknown,3600
434,solved,0.001
435,solved,0
436,solved,0
437,unsolvable,0
438,solved,0
439,solved,7.926
440,solved,0.009
441,solved,0.001
442,solved,0
443,solved,0
444,solved,0
445,solved,533.753
446,solved,0.001
447,solved,0.001
448,solved,0.002
449,solved,0.007
450,solved,0
451,solved,0
452,unsolvable,0
453,solved,0.001
454,solved,0
455,solved,0
456,unknown,3600.006
457,solved,4.636
458,solved,0
459,solved,0
460,solved,0.448
461,solved,0.189
462,unsolvable,0.001
463,solved,0.002
464,unsolvable,1.718
465,solved,0
466,solved,0.001
467,solved,0
468,solved,0
469,unknown,3600
470,solved,0
471,solved,0.001
472,solved,0.005
473,solved,0
474,solved,0
475,solved,0.004
476,unsolvable,0
477,unsolvable,0.072
478,solved,5.062
479,unsolvable,69.42
480,solved,0
481,solved,0.005
482,solved,0.048
483,solved,0
484,solved,0.005
485,solved,0
486,solved,0.001
487,solved,0
488,solved,0
489,solved,0.001
490,solved,0
491,solved,0
492,solved,0
493,solved,0.006
494,solved,0
495,solved,0.27
496,solved,0
497,solved,0
498,solved,7.208
499,solved,0
500,solved,0
501,solved,0
