Seed,result,time (seconds)
293,solved,66.617
294,unsolvable,56.444
295,solved,115.7493333
296,solved,62.676
297,solved,135.2303333
298,solved,127.7623333
299,solved,46.23833333
300,solved,114.916
301,solved,146.896
302,solved,64.54033333
303,unsolvable,30.59166667
304,solved,223.0413333
305,solved,84.74033333
306,solved,69.85166667
307,unsolvable,39.169
308,solved,82.54533333
309,solved,70.47166667
310,solved,172.7556667
311,solved,104.406
312,unsolvable,17.83233333
313,solved,145.492
314,solved,141.724
315,solved,154.1443333
316,solved,63.902
317,solved,60.84566667
318,solved,102.773
319,unsolvable,222.7846667
320,solved,57.928
321,solved,102.8743333
322,unsolvable,11.664
323,unsolvable,77.79366667
324,solved,71.43233333
325,solved,154.4266667
326,unsolvable,52.7
327,solved,65.393
328,solved,84.805
329,unsolvable,9.054333333
330,solved,77.57966667
331,unsolvable,55.03333333
332,solved,106.1436667
333,solved,70.899
334,solved,69.89966667
335,solved,134.8223333
336,unsolvable,10.01733333
337,solved,130.9893333
338,solved,57.46733333
339,solved,150.6536667
340,solved,91.50233333
341,solved,63.52266667
342,solved,84.24033333
343,solved,59.73466667
344,solved,73.60533333
345,solved,64.235
346,solved,51.49233333
347,solved,161.884
348,solved,112.1366667
349,solved,75.727
350,solved,87.15966667
351,solved,148.447
352,solved,159.9303333
353,solved,48.81933333
354,solved,156.7873333
355,solved,94.78633333
356,solved,63.85266667
357,solved,125.5373333
358,solved,67.658
359,solved,79.18666667
360,unsolvable,34.37066667
361,unsolvable,21.809
362,solved,78.10766667
363,solved,70.637
364,unsolvable,20.793
365,solved,51.23833333
366,solved,163.2326667
367,solved,220.007
368,solved,81.43233333
369,solved,54.513
370,solved,87.49933333
371,solved,75.921
372,solved,98.96366667
373,unsolvable,47.244
374,solved,79.49533333
375,solved,86.038
376,solved,88.70166667
377,solved,73.083
378,solved,94.82433333
379,solved,76.336
380,unsolvable,45.6
381,solved,87.99433333
382,solved,80.75766667
383,solved,63.87866667
384,solved,88.145
385,solved,65.78866667
386,solved,67.83666667
387,solved,65.87533333
388,solved,119.9746667
389,solved,137.9423333
390,solved,113.76
391,solved,72.83633333
392,solved,55.031
393,solved,82.96633333
394,unsolvable,49.81733333
395,solved,63.061
396,solved,116.7913333
397,solved,116.424
398,unsolvable,15.20133333
399,solved,65.49466667
400,solved,81.85566667
401,solved,78.23833333
402,solved,94.959
403,unsolvable,70.62933333
404,solved,83.46533333
405,solved,107.41
406,solved,181.2513333
407,solved,56.5
408,solved,184.0123333
409,unsolvable,57.718
410,solved,104.676
411,solved,76.21633333
412,solved,141.8816667
413,solved,59.99333333
414,solved,145.1246667
415,unsolvable,9.178666667
416,solved,81.29333333
417,solved,93.92
418,solved,122.9383333
419,solved,176.914
420,solved,74.02933333
421,solved,90.094
422,unsolvable,70.60433333
423,solved,192.3186667
424,solved,279.1213333
